Precision at .75,Recall at .10,AUC,Precision at .5,f1 at 0.75,Recall at .85,Precision at .2,f1 at 0.85,f1 at 0.5,f1 at 0.05,Recall at .20,train_time (sec),Precision at .25,Recall at .25,test_time (sec),f1 at 0.2,Precision at .05,classifier,f1 at 0.1,Recall at .5,Recall at .05,Recall at .75,Precision at .10,Precision at .85,Accuracy,f1 at 0.25
0.591414141414 (0.00681350381981),0.6207815445 (0.00322681697472),0.803933001245 (0.00291128450913),0.590089073567 (0.00392564908643),0.00890420101137 (0.00124229456366),0.00149292773622 (0.000838382378365),0.29943604263 (0.00940405210233),0.0029773470697 (0.00166930206887),0.0943171560964 (0.0031157149158),0.254926490222 (0.00309829313156),0.362841496749 (0.00396750667706),1.29198185603 (0.141698898354),0.396579436141 (0.0156080551752),0.245157865965 (0.00450928241919),0.00421500205994 (5.59733844746e-05),0.328064135016 (0.00714944302438),0.152271109936 (0.00214464372115),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=1e-05,
          verbose=0, warm_start=False)",0.300541037064 (0.00368949333718),0.0512591835897 (0.0018233080225),0.782463376799 (0.00205997962548),0.00448645204727 (0.000630595663914),0.198282946738 (0.00337629499102),0.592857142857 (0.131319830792),0.934206666667 (0.000318468557667),0.302972374677 (0.00801052799325)
0.315886273486 (0.00526244411541),0.997906231021 (0.000237889200876),0.828425244506 (0.00171258718063),0.182361914644 (0.00136129104944),0.366949251893 (0.00232367002131),0.206120218416 (0.0116670619732),0.0913223487757 (0.000485779307076),0.291457055546 (0.0129436075827),0.292735368291 (0.00196522179996),0.12530611279 (0.000603076481624),0.958705468205 (0.00393624478055),2.23897433281 (1.32627893709),0.107813299475 (0.00111304153066),0.926699462631 (0.00203626052144),0.0040275255839 (5.32488324367e-05),0.166758863279 (0.000772157712537),0.0668413978366 (0.000343623364863),"LogisticRegression(C=0.5, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=0.001, verbose=0, warm_start=False)",0.128091183093 (0.000636610474599),0.741570224767 (0.00290318793453),0.999900793651 (0.000140298964521),0.437928379987 (0.00660822543898),0.0684380720329 (0.000364618658098),0.498452486745 (0.0155242298833),0.760486666667 (0.00116919725548),0.193151981304 (0.00174492087705)
0.166666666667 (0.235702260396),0.645326550256 (0.000887744708064),0.803288241334 (0.00508157283328),0.556189083821 (0.0386828463728),nan (nan),0.0 (0.0),0.271749264236 (0.0107550350223),nan (nan),0.0330575307559 (0.00629125877361),0.250787100467 (0.00448592635904),0.373208406149 (0.00422225732102),0.39715774854 (0.155300080668),0.344671678844 (0.023864951441),0.203876145512 (0.0130525225821),0.00402235984802 (9.246850794e-05),0.314378414308 (0.00759701241995),0.149167160436 (0.0030447758359),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=0.001,
          verbose=0, warm_start=False)",0.299800021506 (0.00554257374138),0.017043216517 (0.00331174649937),0.78695500901 (0.00491269737074),0.000301295570955 (0.000426096282728),0.195282500607 (0.00473883121783),0.0 (0.0),0.933406666667 (0.000197540431867),0.256177039983 (0.0166715681855)
0.313325088232 (0.00534525081713),0.997804573656 (0.000289827107997),0.828015838008 (0.00190257578446),0.182257545189 (0.0016310178549),0.365166190688 (0.00226131786284),0.206310545078 (0.0112633567681),0.091317759466 (0.000871904416267),0.291355960392 (0.0119269684388),0.292686167807 (0.00239283806436),0.125304445145 (0.000601320065899),0.959206016657 (0.00442039481432),0.787933031718 (0.0748756965159),0.107566361928 (0.00191806760457),0.926093334032 (0.00225948937379),0.00421722730001 (0.000127391449254),0.166757304487 (0.00139823053653),0.06684 (0.000342150064543),"LogisticRegression(C=0.5, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=0.001, verbose=0, warm_start=False)",0.128155919256 (0.000716645988255),0.742669302513 (0.00403118702286),1.0 (0.0),0.437824764125 (0.00732677467741),0.0684755402529 (0.000409852395933),0.496977509877 (0.0152314097969),0.760073333333 (0.00133878883905),0.192738135947 (0.00303877284552)
0.149425287356 (0.211319267941),0.365745908478 (0.0104360727854),0.657122167206 (0.00365344860684),0.487834578276 (0.0250077185509),nan (nan),0.000903886712865 (0.00127828884818),0.144152625619 (0.00818829037587),nan (nan),0.0185898219514 (0.00400409384664),0.165833300294 (0.00215546275602),0.0560811758927 (0.00580963390414),0.36922454834 (0.0244817500928),0.213684441268 (0.0331148442838),0.0166598021727 (0.000914545194564),0.00433246294657 (4.31031661705e-05),0.0806948390348 (0.00726351766276),0.092955858578 (0.00134702504663),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=0.001,
          verbose=0, warm_start=False)",0.173910636845 (0.00284932024557),0.00948602341649 (0.00208801643382),0.767997433585 (0.0096555600795),0.00261122828161 (0.00369283445031),0.114094043394 (0.0018076230948),0.1 (0.141421356237),0.93312 (0.00031496031496),0.0308589702809 (0.00160137319092)
0.311335382291 (0.0096096218741),0.999201586241 (0.000744830405347),0.817174017165 (0.0108957705517),0.176802871784 (0.00473833255729),0.324683182539 (0.0485803921946),0.121476992091 (0.0769821168688),0.0830697564848 (0.00638781707853),0.183904357723 (0.107631769549),0.285040179602 (0.00641539277626),0.125304445145 (0.000601320065899),0.972051329102 (0.0106726917103),0.11078898112 (0.0231624781359),0.0962673119251 (0.00957886800112),0.945303013777 (0.0154881282183),0.00408355394999 (4.1410927206e-05),0.152973739246 (0.0107392202451),0.06684 (0.000342150064543),"LogisticRegression(C=0.5, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.126372636299 (0.000865368398445),0.735304362699 (0.00359200727235),1.0 (0.0),0.349576470836 (0.0890885096301),0.0674520256713 (0.000496210413679),0.555403700874 (0.0462773818728),0.753286666667 (0.00755075860795),0.174543548748 (0.0155516493741)
0.309523809524 (0.220800440369),0.522013178719 (0.0322218221716),0.696636347443 (0.0680153056918),0.550923367413 (0.0663586743318),nan (nan),0.0 (0.0),0.43205195858 (0.173952162545),nan (nan),0.0283603755105 (0.00249858167219),0.13776353285 (0.00687539699055),0.0255944218551 (0.0123741017831),0.0756440957387 (0.000456634523509),0.506688801662 (0.106376481615),0.0151570703743 (0.000860065437863),0.00399804115295 (6.77721324055e-05),0.0454770723351 (0.0181350207234),0.0744006879757 (0.0037304475608),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.227109453853 (0.053385605874),0.0145557047402 (0.00127338197981),0.928850245509 (0.0464462368134),0.00391432187387 (0.00491552854891),0.147442211558 (0.0420055111447),0.0 (0.0),0.933333333333 (0.000183545331972),0.029408617819 (0.00178858691947)
0.0 (0.0),1.0 (0.0),0.572502522048 (0.00588360841944),0.166666666667 (0.235702260396),nan (nan),0.0 (0.0),0.06684 (0.000342150064543),nan (nan),nan (nan),0.125304445145 (0.000601320065899),1.0 (0.0),0.0607755184174 (0.000248666577659),0.06684 (0.000342150064543),1.0 (0.0),0.0041294892629 (5.50402198091e-05),0.125304445145 (0.000601320065899),0.06684 (0.000342150064543),"LogisticRegression(C=0.5, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.125304445145 (0.000601320065899),0.000199183348272 (0.000281687792525),1.0 (0.0),0.0 (0.0),0.06684 (0.000342150064543),0.0 (0.0),0.93314 (0.00034756294394),0.125304445145 (0.000601320065899)
0.0 (0.0),0.460191891758 (0.00676465558373),0.572582162662 (0.00584062507349),0.0 (0.0),nan (nan),0.0 (0.0),0.0912763456736 (0.00141641526737),nan (nan),nan (nan),0.136140458195 (0.00197817383854),0.238561472865 (0.00379169719787),0.0930896600087 (0.00119405110907),0.0871895476267 (0.00223456321338),0.142406954383 (0.00484850911471),0.00415992736816 (6.82093845957e-05),0.132034686165 (0.00206216033091),0.0745829062351 (0.00108142981746),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.147174807404 (0.00231189137566),0.0 (0.0),0.779565848746 (0.0124763182402),0.0 (0.0),0.0875953702798 (0.00142665433033),0.0 (0.0),0.93316 (0.000342150064543),0.108155772189 (0.00310546928053)
0.315778356114 (0.0052018117835),0.998006662878 (0.000366347535526),0.82831392191 (0.00172674087515),0.182359437405 (0.00133145098731),0.366901758722 (0.0023625234908),0.206120603741 (0.0118197930529),0.091375700564 (0.000512888522558),0.291456012 (0.013253348816),0.292739934706 (0.00191644614503),0.12530611279 (0.000603076481624),0.958306191793 (0.00366863377659),16.2331171036 (2.01135693575),0.107848275017 (0.00106658965166),0.92650227544 (0.0023335548606),0.00382479031881 (3.79289582826e-05),0.166841754103 (0.00081976889803),0.0668413978366 (0.000343623364863),"LogisticRegression(C=1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",0.128164823246 (0.000630710359449),0.741669816441 (0.00276994204035),0.999900793651 (0.000140298964521),0.438023454955 (0.00746548188227),0.0684796471655 (0.000361734735392),0.498340094936 (0.0149019351263),0.76046 (0.00113560556533),0.193203987217 (0.00167031825588)
0.61339198436 (0.0185599585005),0.623079222133 (0.00160636948688),0.804867279502 (0.00285618391004),0.595809531569 (0.00688490468406),0.0104844634624 (0.00202984845551),0.00159090857765 (0.0011960174471),0.297325629309 (0.0105941495105),0.00317103027912 (0.00238041592578),0.0923455105316 (0.00328449931721),0.25498905086 (0.00277899234511),0.36482096796 (0.00675418303309),7.00645860036 (3.27674461443),0.397748454518 (0.0173086133235),0.245555601078 (0.00573475028057),0.00383122762044 (4.05780359087e-05),0.327590200661 (0.00881831403953),0.152260379652 (0.00201013373272),"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1e-05,
          verbose=0, warm_start=False)",0.301517114356 (0.00409810988983),0.0500606532357 (0.00196022396208),0.783972166604 (0.0024154168013),0.00528868139537 (0.00103044790548),0.198899032393 (0.00369649334576),0.571428571429 (0.154303349962),0.934233333333 (0.000361232458244),0.303619725229 (0.00943033480175)
0.316184118457 (0.00508923871164),0.998006662878 (0.000366347535526),0.828352324356 (0.00171920201121),0.182312039868 (0.00130913177809),0.367288161188 (0.00259327055398),0.205822214044 (0.0119074036763),0.0913833663011 (0.000523390503964),0.291016687423 (0.0134870056456),0.292671055378 (0.00188462305974),0.12530611279 (0.000603076481624),0.958504604491 (0.00388377597113),1.70893462499 (0.0401967204259),0.10787540987 (0.00106759249096),0.926701913646 (0.00241440587016),0.00410103797913 (3.15362086559e-05),0.166857514253 (0.00083981530044),0.0668413978366 (0.000343623364863),"LogisticRegression(C=1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",0.128167231932 (0.000629813863039),0.741569384584 (0.00274729574974),0.999900793651 (0.000140298964521),0.438323525018 (0.00733837539533),0.068481022217 (0.00036123278262),0.497507455913 (0.015766716081),0.760413333333 (0.00102882889194),0.193251806622 (0.0016689198439)
0.565842759391 (0.0148995711977),0.62308198894 (0.00260457134954),0.80400713785 (0.00332223421041),0.587449363273 (0.00736953933464),0.00910030456058 (0.00146254104191),0.00149292773622 (0.000838382378365),0.297090389739 (0.0115652338569),0.00297752491131 (0.00166917547095),0.0932572511466 (0.00364987666241),0.254145569475 (0.00338215000887),0.364221074093 (0.00636506801609),1.17378338178 (0.128178460286),0.389206886504 (0.0219077503674),0.245351237567 (0.00409797321289),0.00413084030151 (3.6109200238e-05),0.327150793 (0.00856388384725),0.151688876741 (0.00244308179662),"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=1e-05,
          verbose=0, warm_start=False)",0.301329211834 (0.00430824580232),0.0506578874886 (0.00216050847264),0.783275688342 (0.00517720119314),0.00458772408711 (0.000741878271118),0.198742671539 (0.00400074180459),0.616666666667 (0.102740233383),0.934166666667 (0.000294089933335),0.30085102222 (0.00955967803045)
0.316183392919 (0.00497597472238),0.997805799164 (0.000138990138467),0.828393411586 (0.00173787072931),0.182361963591 (0.00136282961652),0.367387973743 (0.00179376278232),0.205518012599 (0.011174132926),0.0913626350856 (0.000498922200261),0.290743005829 (0.0124074226975),0.292766600526 (0.00196644258943),0.12530611279 (0.000603076481624),0.958306191793 (0.00366863377659),1.28125150998 (0.173996528923),0.107822832881 (0.00115667545227),0.926503115623 (0.00255436141315),0.00385427474976 (1.95571065781e-05),0.166819993457 (0.0007951036698),0.0668413978366 (0.000343623364863),"LogisticRegression(C=1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=0.001, verbose=0, warm_start=False)",0.128112796449 (0.000640172480461),0.741971952195 (0.00306785915497),0.999900793651 (0.000140298964521),0.438623070691 (0.00714373406796),0.0684508807147 (0.000366187558845),0.497760062165 (0.0155457252928),0.760393333333 (0.00115635442471),0.193162685123 (0.00180972040011)
0.465986394558 (0.0292596097518),0.645913980447 (0.00146125694713),0.801967605875 (0.00121564618406),0.573926317255 (0.0476978019521),0.00554454418565 (0.005742074894),0.0 (0.0),0.263670328583 (0.00250668206807),nan (nan),0.0325154968583 (0.00644779094705),0.250400767704 (0.00136618324184),0.365044699124 (0.00193587234712),0.315365791321 (0.126806512223),0.329805243126 (0.0168574232093),0.193916766561 (0.0175301729137),0.00390775998433 (3.38141842198e-05),0.30618302474 (0.00235060969198),0.148893087904 (0.00103691046157),"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=0.001,
          verbose=0, warm_start=False)",0.29975045198 (0.00358740174333),0.0167467215712 (0.00340468663766),0.786866099241 (0.00270373419389),0.00280673510655 (0.00291793741128),0.195166397505 (0.00291258450803),0.0 (0.0),0.933453333333 (0.00017152907107),0.244138739464 (0.0185093058564)
0.315237595947 (0.00314931714481),0.997605390308 (0.000490855553328),0.828444654542 (0.00129135083478),0.182438685904 (0.00129894245457),0.366924080105 (0.00122613830775),0.207601768918 (0.0102421109725),0.0910867610094 (0.000535555189126),0.293493692562 (0.0109252180017),0.292989713632 (0.00194670540527),0.125305229211 (0.000601550402195),0.959703204378 (0.00420556807514),0.728399038315 (0.0563191837586),0.107200430492 (0.00147794930515),0.927089636098 (0.000638387110292),0.00418496131897 (4.09025121956e-05),0.166380916382 (0.000862430101682),0.0668404462756 (0.000342281054265),"LogisticRegression(C=1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=0.001, verbose=0, warm_start=False)",0.128370226267 (0.000590094151774),0.743564086281 (0.00375249050191),1.0 (0.0),0.439112905365 (0.00887601270324),0.0685988118252 (0.000337707067976),0.501467031111 (0.0105350951386),0.76014 (0.000882874094459),0.192175363884 (0.00236717186351)
0.149425287356 (0.211319267941),0.365745908478 (0.0104360727854),0.657122303788 (0.00365364211645),0.487834578276 (0.0250077185509),nan (nan),0.000903886712865 (0.00127828884818),0.144117893326 (0.00819659404451),nan (nan),0.0185898219514 (0.00400409384664),0.165838597852 (0.00215705417021),0.0560811758927 (0.00580963390414),0.365530729294 (0.0260106751065),0.213684441268 (0.0331148442838),0.0166598021727 (0.000914545194564),0.00419100125631 (1.98564494583e-05),0.080689012745 (0.00726218619025),0.0929591764452 (0.00134753366802),"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=0.001,
          verbose=0, warm_start=False)",0.173914754979 (0.00285428910591),0.00948602341649 (0.00208801643382),0.767997433585 (0.0096555600795),0.00261122828161 (0.00369283445031),0.114097544868 (0.00181060781332),0.1 (0.141421356237),0.93312 (0.00031496031496),0.0308589702809 (0.00160137319092)
0.268055345039 (0.00729685542506),0.999004853908 (0.00101594259298),0.801810594234 (0.00676844274874),0.169790382289 (0.00341239371973),0.293417943223 (0.0365985671077),0.0631007839897 (0.0471343970882),0.0813367966168 (0.00542595708976),0.105214151627 (0.0720794478312),0.275272688598 (0.00501767590996),0.125296760986 (0.000602464566053),0.969616406967 (0.0111663710597),0.101932764053 (0.0230965055603),0.0935537610036 (0.00800427034297),0.941208052358 (0.0164589701152),0.00394900639852 (6.98253990637e-05),0.150018840992 (0.00913779929173),0.0668365219608 (0.000343400207923),"LogisticRegression(C=1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.12598848207 (0.00109526694654),0.726877916861 (0.00856441522178),0.999801201977 (0.00014057222256),0.341990811657 (0.0912857956982),0.0672342456619 (0.000627601538239),0.508230721399 (0.0365807098197),0.744146666667 (0.00278784664013),0.170042776498 (0.0130093622171)
0.369963369963 (0.261949585037),0.636130331169 (0.0408178969999),0.70719927525 (0.0274312149513),0.553865258905 (0.0571011968685),nan (nan),0.0 (0.0),0.343186507813 (0.115253404473),nan (nan),0.0276042437797 (0.00256511670144),0.141137080289 (0.00510210239722),0.074696476203 (0.0520298094834),0.0753871599833 (0.000162709030593),0.404519841456 (0.0975247576445),0.0235038842932 (0.0103967961002),0.00392150878906 (3.14176227731e-05),0.104548666107 (0.0592613332215),0.0763136754902 (0.00307830243329),"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.206370208293 (0.00999765953715),0.0141564283278 (0.00132004005458),0.940265817487 (0.0222523914834),0.00458457774165 (0.00565283220613),0.123171788117 (0.00560583529199),0.0 (0.0),0.93334 (0.000216024689947),0.0432311102589 (0.017058825197)
0.0 (0.0),1.0 (0.0),0.572502522048 (0.00588360841944),0.166666666667 (0.235702260396),nan (nan),0.0 (0.0),0.06684 (0.000342150064543),nan (nan),nan (nan),0.125304445145 (0.000601320065899),1.0 (0.0),0.0606444676717 (0.000553788978221),0.06684 (0.000342150064543),1.0 (0.0),0.00414141019185 (5.55879562598e-05),0.125304445145 (0.000601320065899),0.06684 (0.000342150064543),"LogisticRegression(C=1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.125304445145 (0.000601320065899),0.000199183348272 (0.000281687792525),1.0 (0.0),0.0 (0.0),0.06684 (0.000342150064543),0.0 (0.0),0.93314 (0.00034756294394),0.125304445145 (0.000601320065899)
0.0 (0.0),0.460191891758 (0.00676465558373),0.572582162662 (0.00584062507349),0.0 (0.0),nan (nan),0.0 (0.0),0.0912763456736 (0.00141641526737),nan (nan),nan (nan),0.136140458195 (0.00197817383854),0.238561472865 (0.00379169719787),0.0917669137319 (0.000731649150886),0.0871895476267 (0.00223456321338),0.142406954383 (0.00484850911471),0.00416866938273 (2.69221863518e-05),0.132034686165 (0.00206216033091),0.0745829062351 (0.00108142981746),"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.147174807404 (0.00231189137566),0.0 (0.0),0.779565848746 (0.0124763182402),0.0 (0.0),0.0875953702798 (0.00142665433033),0.0 (0.0),0.93316 (0.000342150064543),0.108155772189 (0.00310546928053)
