Precision at .75,Recall at .10,AUC,Precision at .5,f1 at 0.75,Recall at .85,Precision at .2,f1 at 0.85,f1 at 0.5,f1 at 0.05,Recall at .20,train_time (sec),Precision at .25,Recall at .25,test_time (sec),f1 at 0.2,Precision at .05,classifier,f1 at 0.1,Recall at .5,Recall at .05,Recall at .75,Precision at .10,Precision at .85,Accuracy,f1 at 0.25
0.708333333333 (0.2124591464),0.70304255416 (0.00577597357794),0.858064887232 (0.00202416735867),0.618297944374 (0.0262237017355),0.00199497371211 (0.000755466516997),0.0 (0.0),0.373561523334 (0.00711513701226),nan (nan),0.217851850489 (0.00504007453334),0.285308618665 (0.00220655373558),0.517404119757 (0.0098785981191),0.837098519007 (0.00158940676371),0.421283696062 (0.00785014243036),0.44780482313 (0.00602434720964),0.107089122136 (0.000233732450158),0.433866456263 (0.0081411635959),0.171966466479 (0.00170972195056),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.369704326527 (0.00308078678907),0.132361163063 (0.00486097253073),0.83703303374 (0.00285898861413),0.000999347005746 (0.000379077489618),0.250795657346 (0.00220857923418),0.0 (0.0),0.9365 (0.000424264068712),0.434135217077 (0.00695013981817)
0.778947368421 (0.0297729171026),0.702353397072 (0.00429273117902),0.854883813078 (0.00150538983649),0.618619572936 (0.0251076907149),0.00755253865214 (0.00395008337145),0.00020086371397 (0.000284064188485),0.369301245138 (0.0060877710696),nan (nan),0.231475092398 (0.0061243431763),0.283082779047 (0.00243613873289),0.526980562369 (0.00963863346403),0.936813433965 (0.00127354454508),0.417051179718 (0.007527082131),0.454802285988 (0.00521726870025),0.1071656545 (0.000314025980983),0.434263861655 (0.0072853425389),0.170500023065 (0.00192747968239),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.368211951184 (0.0025334313914),0.142546463423 (0.00582776210085),0.833563155341 (0.00654555761074),0.00379974597443 (0.00199255868398),0.249515512869 (0.00218137069776),0.166666666667 (0.235702260396),0.936766666667 (0.00028534579412),0.435070017109 (0.00515096596039)
0.703703703704 (0.0523782800879),0.708026932705 (0.0078817928321),0.855585597965 (0.00101262736997),0.623523514506 (0.0142128286949),0.00299061010747 (0.00129943181683),0.0 (0.0),0.373026246952 (0.00821057233963),nan (nan),0.212286845498 (0.00655979475763),0.280770232728 (0.00422169368596),0.521688027724 (0.0108457173295),0.837216456731 (0.0016293130575),0.420675847305 (0.00912028481143),0.448114590062 (0.00458395503744),0.107257684072 (0.000443757092291),0.435005802883 (0.0093366292519),0.168769008022 (0.0032448565803),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.365422090046 (0.00266635838801),0.127944467519 (0.00448773166611),0.835148637496 (0.0048798939454),0.00149898574212 (0.000651971410945),0.246271816153 (0.00215069686608),0.0 (0.0),0.936546666667 (0.000273414622059),0.433946837719 (0.00697379180093)
0.666666666667 (0.471404520791),0.686677256562 (0.00793389986764),0.862411486529 (0.00240282951522),0.636566121323 (0.0338962913075),nan (nan),0.0 (0.0),0.398487350621 (0.0124016940485),nan (nan),0.191241656105 (0.00184026464165),0.289274946775 (0.00495686447296),0.489115356059 (0.004901435755),1.19340697924 (0.0500536472073),0.443012170344 (0.0108989066299),0.421912836221 (0.00200003919433),0.111938794454 (0.000170855965391),0.439067924355 (0.00796192267),0.174829467095 (0.00378845049591),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.382784692596 (0.00536926083846),0.112611043586 (0.00224830567396),0.838042045742 (0.0056471861216),0.000699346475559 (0.000510686380001),0.265367706159 (0.00445630649392),0.0 (0.0),0.936346666667 (0.000450579873299),0.432112828402 (0.00411062741005)
0.0 (0.0),0.684858769359 (0.0125892049994),0.861875065167 (0.00246760143812),0.648095717123 (0.0274530658632),nan (nan),0.0 (0.0),0.408899027763 (0.0121637253714),nan (nan),0.157758436248 (0.00406791263731),0.284959214299 (0.00468510953059),0.476458962255 (0.00238626202345),1.05657935143 (0.0013482659115),0.452863435217 (0.00810629318725),0.403630085542 (0.00425527286352),0.111960887909 (0.000570805846711),0.440005391176 (0.00725665614772),0.171593688441 (0.00346553525076),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.383937524347 (0.00223072950456),0.0898653717669 (0.00303634368545),0.840106086743 (0.00275373931251),0.0 (0.0),0.266759780728 (0.000460017714822),0.0 (0.0),0.93588 (0.000247116706571),0.426824936168 (0.00593549833255)
0.749287749288 (0.185863321143),0.699861052797 (0.00467916024355),0.86040475553 (0.00183417610201),0.624033596545 (0.0188884406537),0.00398232034534 (0.00103202440153),0.0 (0.0),0.374426139294 (0.00895634185408),nan (nan),0.230903750527 (0.00413600288799),0.289862658304 (0.00417392766826),0.522995044099 (0.00886501867616),1.65963888168 (0.000347193503396),0.419007931111 (0.0125285567429),0.454507920478 (0.00226772903537),0.112046718597 (0.000551657659915),0.436394967102 (0.00884802409606),0.175413834293 (0.00306933350787),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.374034988775 (0.00251726788658),0.141723924833 (0.00360067966951),0.834239811092 (0.00175226727734),0.00199708317878 (0.000519138837848),0.255226017934 (0.00230933662118),0.0 (0.0),0.936906666667 (0.000315946549629),0.435954317715 (0.00732864788998)
0.842592592593 (0.111880055311),0.704643898384 (0.00506709268428),0.859938740461 (0.00213341935844),0.627308276004 (0.020392195931),0.00259378746164 (0.00114052613294),0.0 (0.0),0.379158501828 (0.00925136678777),nan (nan),0.211125184826 (0.00264062213622),0.286262025607 (0.00320947627747),0.520213659331 (0.00719119455379),1.46035504341 (0.00123610927654),0.42662216246 (0.00894939878313),0.449615818221 (0.00295835643185),0.111479361852 (0.000559769365082),0.438592202281 (0.00818257926659),0.17281089307 (0.00252605492581),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.373184229329 (0.00373955762664),0.126966269937 (0.00234427530521),0.833655848826 (0.00505592442382),0.00129941706892 (0.00057251211907),0.253803162912 (0.00294785788337),0.0 (0.0),0.936586666667 (0.000315946549629),0.437791832833 (0.00599341939043)
0.669716775599 (0.159941939618),0.699434151756 (0.0101789644524),0.857539545118 (0.002269731662),0.623156723329 (0.0221436859395),0.00497510989839 (0.00221445520377),0.0 (0.0),0.372565981414 (0.00781728074679),nan (nan),0.234453520534 (0.00595329862667),0.285821270742 (0.00409587822789),0.526684901819 (0.0090962227128),1.72888628642 (0.0473778804043),0.416295257917 (0.00814379092394),0.454808306333 (0.00248901646063),0.111922184626 (0.000451584020225),0.436410051823 (0.0083020198324),0.172515425642 (0.0029186614689),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.369590991245 (0.00406142306967),0.144536509347 (0.00562807016784),0.832943508496 (0.00299123295147),0.002497631631 (0.0011142055068),0.251156749711 (0.00262102120728),0.0 (0.0),0.93694 (0.000311555238548),0.434657785415 (0.00464083465407)
0.5 (0.408248290464),0.706325156624 (0.00820599150749),0.858085014941 (0.00184591603863),0.628692327842 (0.0189358590999),nan (nan),0.0 (0.0),0.374123401921 (0.00741661643971),nan (nan),0.209293271421 (0.00334150091206),0.284079406266 (0.00326241092082),0.522010403187 (0.00652047426418),1.52890070279 (0.0468952032103),0.421801231594 (0.0102466398501),0.448529204152 (0.000931414752274),0.112056732178 (0.000533369733943),0.435841172251 (0.00675165803397),0.171133847105 (0.00238822398524),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.369747993128 (0.00441281425572),0.125562953087 (0.00209541974555),0.835639274693 (0.00245295253691),0.000601750959061 (0.000651262719838),0.25043970954 (0.00378370076219),0.0 (0.0),0.936586666667 (0.000373214266727),0.434701148929 (0.00582967056754)
0.222222222222 (0.314269680527),0.675504965681 (0.00763087978454),0.862534426861 (0.00225344917373),0.641105136484 (0.0282458232413),nan (nan),0.0 (0.0),0.399067136 (0.00991694125078),nan (nan),0.193657672582 (0.00868711136562),0.289644240294 (0.00536993796201),0.487896307865 (0.0079099737708),2.26522715886 (0.0476577228679),0.440510022805 (0.00920470167331),0.425770683331 (0.00473545221411),0.225455125173 (0.000723210298061),0.438971280412 (0.00775591044932),0.175098644633 (0.00409930215233),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.390550762471 (0.00230580089728),0.114202621408 (0.00662474326676),0.838125566749 (0.00477153855869),0.00020086371397 (0.000284064188485),0.274702825327 (0.00245437567984),0.0 (0.0),0.93648 (0.000155777619274),0.432984479725 (0.00619999986545)
0.0 (0.0),0.685070448257 (0.00946694350946),0.862080327269 (0.00240040347757),0.659061206115 (0.0283085803209),nan (nan),0.0 (0.0),0.406834017336 (0.0125127026636),nan (nan),0.157388817311 (0.00791211266377),0.288060780634 (0.00475612055208),0.47792573713 (0.00770032313581),2.00334350268 (0.00315862064575),0.451538163505 (0.0110973276473),0.404334548435 (0.00476695043241),0.225870052973 (0.00055743661973),0.439432955502 (0.00895718642124),0.173840134305 (0.00357578594278),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.381083733492 (0.0024798393635),0.0894674975883 (0.00552213576494),0.840327468297 (0.00305776939909),0.0 (0.0),0.263971774907 (0.00164095363827),0.0 (0.0),0.936013333333 (0.000155205956358),0.426568632941 (0.00602766520744)
0.718864468864 (0.0237742765307),0.703036919139 (0.0076034997841),0.861061140458 (0.00205111450376),0.624119864932 (0.0176156813264),0.00457697615833 (0.00113646115597),0.0 (0.0),0.376697404779 (0.00621112569902),nan (nan),0.227409919446 (0.0115258818415),0.291160946983 (0.0040745953891),0.524005490208 (0.00631412595258),3.20526591937 (0.00318181709445),0.420503938964 (0.00883062536504),0.453514561946 (0.00284496509691),0.225529193878 (0.000656267916362),0.43829568016 (0.00613622883213),0.176296570446 (0.00306773425607),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.375657154123 (0.00173507940965),0.139253677358 (0.00935215522482),0.835832892553 (0.00202533458319),0.00229624352612 (0.000571522174064),0.256309940703 (0.000622641323784),0.0 (0.0),0.936826666667 (0.000136950923894),0.43633214121 (0.00482130777082)
0.541666666667 (0.412478955692),0.70194004615 (0.00743938603109),0.860762377306 (0.00204170242374),0.635501367953 (0.0284864354105),nan (nan),0.0 (0.0),0.378690337535 (0.00988106613379),nan (nan),0.208829777669 (0.00497586718495),0.287366273446 (0.00391223221464),0.518517379205 (0.00671745237737),2.80481115977 (0.00330345840917),0.427355102365 (0.0112979315081),0.449815879412 (0.00459014510459),0.225416580836 (0.00123231830429),0.437675287169 (0.0086088952027),0.173568118825 (0.0029219106278),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.375186750367 (0.00289228094612),0.125074312048 (0.00459637247706),0.834742601961 (0.00279327512266),0.000601365634132 (0.00065144218129),0.25601990497 (0.00211114926398),0.0 (0.0),0.93668 (0.000439089968002),0.4382176594 (0.00650658441935)
0.869047619048 (0.102408634131),0.70473865756 (0.00578757621113),0.859816233243 (0.00225320444258),0.622958827116 (0.0225561711837),0.0057696339754 (0.00197852039798),0.0 (0.0),0.375460678989 (0.00796381164647),nan (nan),0.231219750934 (0.00834258073068),0.287722242327 (0.00312123913908),0.526978111354 (0.0101082110522),3.30747938156 (0.000926520264127),0.422241287165 (0.00841646670154),0.457005867901 (0.00162042746892),0.225934267044 (0.000649042579166),0.438491972786 (0.00874555461365),0.173849377242 (0.00231048373886),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.372830141284 (0.00233022362822),0.142117882016 (0.00711587720687),0.834135633179 (0.000880579004356),0.00289631411948 (0.000995837680001),0.253459780569 (0.00140956496907),0.0 (0.0),0.936873333333 (0.00032427697352),0.438892737157 (0.00462836845435)
0.592592592593 (0.428734700103),0.707133406318 (0.0054798547567),0.859754761395 (0.00186344105583),0.618259728472 (0.0154086375149),nan (nan),0.0 (0.0),0.375312070303 (0.00773781559477),nan (nan),0.206704758213 (0.0118944428195),0.28470959962 (0.00471958566866),0.524590854708 (0.00882638197945),2.90594220161 (0.00447566404283),0.423268302418 (0.00779683331782),0.451209215474 (0.0044985341306),0.224934339523 (0.00065482098598),0.437563527575 (0.00819113602361),0.171519734453 (0.00337864318982),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.372002428026 (0.00330936814575),0.124295929398 (0.00913212677718),0.837425304771 (0.00166965367061),0.000901435697308 (0.000887829088969),0.252393881226 (0.00262175765955),0.0 (0.0),0.936306666667 (0.000251042271784),0.436763520539 (0.00544597267729)
