,AUC,Accuracy,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,classifier,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
69,0.818338355859 (0.00281193126142),0.933553333333 (0.000359382185919),0.171873615984 (0.00171703861047),0.218808727891 (0.00430042322032),0.31291605374 (0.00580876784247),0.360167118662 (0.0076642870737),0.499200972891 (0.00828695637055),0.554234626922 (0.0335145969664),0.524986709197 (0.0826487049753),0.769700916118 (0.00111333989977),0.676209037462 (0.00732304771041),0.502064322026 (0.00594588188929),0.420473385721 (0.00658292171951),0.163203963623 (0.00607789163099),0.0218468262034 (0.00175313582477),0.00788124892835 (0.0004075077447),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.280996462394 (0.00233034382646),0.330624350766 (0.00572050878383),0.385520719952 (0.00565765497491),0.387974432354 (0.00688359788277),0.245912075992 (0.00692742206089),0.0420328539967 (0.00331983314221),0.0155269096291 (0.000826693258916),0.212332804998 (0.000224822890884),1.4810543855 (0.0153886085218)
70,0.835396329587 (0.00178881917364),0.935193333333 (0.000543650214343),0.161547146438 (0.00185553381001),0.2279099603 (0.00420821605683),0.338483619544 (0.00487678404355),0.380995698205 (0.00923508165828),0.558258648268 (0.00631346077823),0.618650793651 (0.0342329473432),0.714285714286 (0.038880789568),0.809106427769 (0.00213686156717),0.685787267633 (0.00578822863825),0.504461313201 (0.00530336310837),0.430235322497 (0.00919395952649),0.135550927189 (0.00204069231443),0.010275087971 (0.000417800335712),0.00359488994518 (0.000866812050726),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.269313851127 (0.00245713862472),0.342110968729 (0.0053215020777),0.405119526498 (0.00476392826329),0.40407858234 (0.00828573001021),0.218116871317 (0.00237583144002),0.0202127446255 (0.000805377142293),0.00715245352526 (0.00171714908259),0.32269525528 (0.000775003591166),2.12973713875 (0.0208290163881)
71,0.827435094846 (0.00186906619118),0.93356 (0.000302434565926),0.16625256941 (0.00105752172581),0.226099038527 (0.00211332394585),0.323640220349 (0.00715874847744),0.362486484531 (0.0102893589651),0.503304502518 (0.00559671485573),0.499244773581 (0.032328994754),0.510656774787 (0.0720439220504),0.78637685849 (0.00514581020879),0.666437794929 (0.00679334580127),0.495050478496 (0.0124374862599),0.426655871635 (0.00678662327892),0.150320698097 (0.00526958288173),0.0174582854645 (0.000928066779689),0.0073819955169 (0.000394848776366),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.274472494217 (0.00140904270497),0.337638158708 (0.00276202396929),0.39138033747 (0.00868514273082),0.391925273044 (0.00836300173838),0.231457315448 (0.00653780160018),0.0337358543452 (0.00179969544609),0.0145517498106 (0.000797298041231),0.324258168538 (0.00121936330826),2.7801126639 (0.024625063371)
0,0.821430001045 (0.00560793973265),0.93316 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.466562795 (0.0103653157511),0.0 (0.0),0.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.296246406338 (0.00374145240509),0.0 (0.0),0.0 (0.0),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=5, random_state=None)",0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.362291557152 (0.00133659632902),nan (nan),nan (nan),0.0194387435913 (0.000156299820919),0.426823139191 (0.004569544548)
1,0.836981761943 (0.00380395908076),0.934826666667 (0.000253157833947),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.464712318552 (0.0126847297289),0.0 (0.0),0.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.311879975653 (0.00721820976568),0.0 (0.0),0.0 (0.0),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=10, random_state=None)",0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.373052182809 (0.00295925611943),nan (nan),nan (nan),0.032511472702 (0.000130366936046),0.843274354935 (0.00368198911888)
2,0.848296642287 (0.00364265649395),0.935213333333 (0.000628720040152),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.461135792775 (0.0110144377257),0.0 (0.0),0.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.319950041817 (0.00552072191101),0.0 (0.0),0.0 (0.0),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=25, random_state=None)",0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.377683227078 (0.00450151634749),nan (nan),nan (nan),0.0718522866567 (0.000243743118184),2.10252094269 (0.00307891767147)
3,0.850101669148 (0.00338241899199),0.93564 (0.000577811964801),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.459514978131 (0.0116217038052),0.0 (0.0),0.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.324236994724 (0.00467424089246),0.0 (0.0),0.0 (0.0),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=50, random_state=None)",0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.380120651564 (0.00499919833234),nan (nan),nan (nan),0.136731465658 (0.000210606736925),4.22690518697 (0.0255377763623)
4,0.850770466353 (0.00329836655235),0.935693333333 (0.000311697859402),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.459516282597 (0.0114808635243),0.0 (0.0),0.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.324140624715 (0.00441907339812),0.0 (0.0),0.0 (0.0),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=100, random_state=None)",0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.380049878086 (0.00448973481787),nan (nan),nan (nan),0.264811515808 (0.000360378548303),8.41177813212 (0.0153887798902)
5,0.830665554078 (0.00262690573429),0.934466666667 (0.000942667609618),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.522472309542 (0.0174905088964),0.0 (0.0),0.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.228361814078 (0.009026935613),0.0 (0.0),0.0 (0.0),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=5, random_state=None)",0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.317746048476 (0.0111453460305),nan (nan),nan (nan),0.0407330989838 (8.72053773829e-05),0.486794869105 (0.00125048624698)
6,0.848701418166 (0.00338367375397),0.93476 (0.000719073477933),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.53001961219 (0.0162296489396),0.0 (0.0),0.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.21101803498 (0.00721952169746),0.0 (0.0),0.0 (0.0),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=10, random_state=None)",0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.301841129499 (0.0098048811087),nan (nan),nan (nan),0.0756180286407 (0.00013344115564),0.96822587649 (0.00539745898116)
7,0.855385220936 (0.00257007965213),0.9351 (0.000499866648884),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.539301890454 (0.015202796855),0.0 (0.0),0.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.201034412432 (0.0117070045049),0.0 (0.0),0.0 (0.0),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=25, random_state=None)",0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.292638454817 (0.012460397916),nan (nan),nan (nan),0.179719289144 (0.00036137589553),2.40197873116 (0.0171218024712)
8,0.858247764678 (0.00253804838498),0.93548 (0.000398998746865),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.545636320064 (0.00966100371031),0.0 (0.0),0.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.20752484006 (0.00695882894224),0.0 (0.0),0.0 (0.0),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=50, random_state=None)",0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.300630201525 (0.00806704593989),nan (nan),nan (nan),0.35164809227 (0.000746454748112),4.804088672 (0.0163640992931)
9,0.859703269885 (0.00210434759744),0.935633333333 (0.000570691588241),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.549862079625 (0.0147554695801),0.0 (0.0),0.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.205243163561 (0.00497635034307),0.0 (0.0),0.0 (0.0),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=100, random_state=None)",0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.298842012149 (0.00588035604977),nan (nan),nan (nan),0.697310288747 (0.000705076940834),9.60502735774 (0.0240044036046)
0,0.518770667659 (0.00698133805955),0.9274 (0.0042624249749),0.066986192758 (0.00026556402734),0.358543417367 (0.268761631738),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.995892761383 (0.00349412625424),0.00139680398645 (0.00138625097004),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),"SVC(C=0.1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='rbf',
  max_iter=1000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.125528986425 (0.000492906532008),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),5.1587044398 (0.0163700779807),128.858814001 (1.8529458237)
1,0.477825621032 (0.00867372037465),0.596833333333 (0.305943877352),0.06684 (0.000342150064543),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),1.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),"SVC(C=0.1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='poly',
  max_iter=1000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.125304445145 (0.000601320065899),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),1.46685147285 (0.230514590985),43.6334731579 (5.2302962897)
2,0.5 (0.0),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),1.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),"SVC(C=0.1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='sigmoid',
  max_iter=1000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.125304445145 (0.000601320065899),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),4.04875040054 (0.00512867011132),111.348850171 (7.44532639644)
3,0.492842820393 (0.059698512379),0.44838 (0.161598597354),0.066254676964 (0.000801848986374),0.0142441034385 (0.0201442042665),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.964645726332 (0.0495781919578),0.0399362613286 (0.0564784024013),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),"SVC(C=0.1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='linear',
  max_iter=1000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.123980375723 (0.00179583368381),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),1.81156404813 (0.0458740263957),57.7643377781 (2.42573398876)
4,0.522053180212 (0.00526221586673),0.930973333333 (0.00227592227948),0.0676834281256 (0.00061905580131),0.142857142857 (0.20203050891),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.982888268027 (0.0147231767459),0.000301295570955 (0.000426096282728),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='rbf',
  max_iter=1000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.126641352113 (0.000961227232126),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),5.15599568685 (0.00864725043536),128.043666204 (1.8079238312)
5,0.493276656223 (0.0610334666214),0.59908 (0.316492411283),0.06684 (0.000342150064543),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),1.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='poly',
  max_iter=1000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.125304445145 (0.000601320065899),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),1.28898890813 (0.194596527413),45.9042874972 (4.5923678469)
6,0.5 (0.0),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),1.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='sigmoid',
  max_iter=1000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.125304445145 (0.000601320065899),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),4.274736166 (0.253774229471),102.331002235 (1.84182768068)
7,0.508892194392 (0.0473592383966),0.60196 (0.124204119094),0.0680523101332 (0.0019822516694),0.0109367570138 (0.0154669100973),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.967857142857 (0.0454568645048),0.00228174603175 (0.00322687618399),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='linear',
  max_iter=1000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.127116948962 (0.00303727777939),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),1.7294242382 (0.104665139207),54.4702452819 (2.74945914179)
8,0.527939315202 (0.00968952210041),0.928673333333 (0.00188441561823),0.0670318592697 (0.00045671471896),0.511904761905 (0.189730683935),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.997007139146 (0.00240120558791),0.000598845085585 (0.000244435061835),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),"SVC(C=0.1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='rbf',
  max_iter=2000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.125617517639 (0.000792349928459),0.00119601337129 (0.000488134921954),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),10.5164438089 (0.373690683869),258.622621298 (5.79903677189)
9,0.498793102256 (0.0616483935458),0.583446666667 (0.26506990491),0.0627762961934 (0.0072182034273),0.0152265226523 (0.0215335548426),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.740212582464 (0.335182307492),0.020387666968 (0.0288325151312),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),"SVC(C=0.1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='poly',
  max_iter=2000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.113896929845 (0.0184141728482),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),2.26131089528 (0.058814876306),81.0487713019 (10.6947597706)
10,0.5 (0.0),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),1.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),"SVC(C=0.1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='sigmoid',
  max_iter=2000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.125304445145 (0.000601320065899),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),8.42814278603 (0.545341000188),222.995782296 (22.0507742307)
11,0.474046558548 (0.0895113115388),0.488593333333 (0.109739541744),0.06684 (0.000342150064543),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),1.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),"SVC(C=0.1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='linear',
  max_iter=2000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.125304445145 (0.000601320065899),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),2.08377218246 (0.108499110874),86.958870252 (2.94412193064)
12,0.534148339434 (0.00798663194355),0.929466666667 (0.00323086503724),0.0679284671716 (0.000404889978212),0.611111111111 (0.283278861866),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.971607042055 (0.0178074772035),0.000999732330676 (0.000512485007807),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='rbf',
  max_iter=2000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.126974905911 (0.000570816198448),0.00199354242635 (0.00102098305431),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),10.2513221105 (0.0169538530012),266.936278025 (12.2299446036)
13,0.483728210837 (0.0521707078541),0.815793333333 (0.0135225277059),0.06684 (0.000342150064543),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),1.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='poly',
  max_iter=2000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.125304445145 (0.000601320065899),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),2.09616176287 (0.0127124221321),67.6849966844 (7.73950761999)
14,0.5 (0.0),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),1.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='sigmoid',
  max_iter=2000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.125304445145 (0.000601320065899),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),8.20338090261 (0.159861586387),207.878195286 (14.6604609975)
15,0.48358689055 (0.0724812180369),0.49718 (0.182374634932),0.0673996399722 (0.00107070128595),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.98501984127 (0.0211851436427),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='linear',
  max_iter=2000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.126155788277 (0.00169948584939),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),2.10323961576 (0.0594194941445),84.5439752738 (1.69180602038)
0,0.758709315056 (0.0024723254601),0.932613333333 (0.00026549743669),0.257895432193 (0.00563329248162),0.286986688982 (0.0114825116056),0.296503674874 (0.0252657752591),0.353965124078 (0.0632383419488),0.443338943339 (0.0195912890842),0.448870927514 (0.0349998205876),0.446150704979 (0.0217812203503),0.281616672826 (0.0152236390588),0.181804437957 (0.0102713740756),0.111604723072 (0.00559822925913),0.0776437604062 (0.0171114928467),0.0325022140461 (0.00283078525446),0.0245271156576 (0.00205934078201),0.022434502653 (0.00149376770463),GaussianNB(),0.268854601948 (0.00373389570249),0.222161360119 (0.00543711536376),0.161729816044 (0.00547368914962),0.124243380609 (0.0169577757307),0.0605557017099 (0.0050882688478),0.0465100138506 (0.00387793823364),0.0427186821584 (0.00279835877312),0.0270081361135 (5.95700905564e-05),0.0811208883921 (0.0119313989713)
0,0.816443376662 (0.0106777177468),0.933486666667 (0.000606923022759),0.172552047144 (0.00209954309789),0.244192596859 (0.00862743700234),0.339529786291 (0.0172210596978),0.386944762733 (0.0272021876757),0.495902778721 (0.0224750780411),0.529665784383 (0.017482870125),0.48605841614 (0.00915585011612),0.772970818398 (0.0234686242993),0.630721465966 (0.0158134487646),0.452156053945 (0.0224327949052),0.38051035437 (0.00936521264821),0.136373593271 (0.0140847200773),0.0365159189952 (0.00213059377664),0.019049964692 (0.000838539839271),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=10,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.282070510284 (0.00280175268838),0.35189343312 (0.00825845501943),0.387090746683 (0.00957453361565),0.382967207984 (0.0103935149987),0.21352039394 (0.0179664398525),0.0682867398698 (0.00356323572166),0.0366603672975 (0.00155995255066),0.00683093070984 (0.000216667882183),0.130890448888 (0.0121385921117)
1,0.812641497255 (0.0079863805713),0.9341 (0.00054626001135),0.171070597415 (0.00880834732826),0.242478389824 (0.0114676492569),0.327497754832 (0.0141330662289),0.37595604931 (0.011472776817),0.521368265698 (0.00940734134886),0.509799051265 (0.0245245331326),0.445726190719 (0.0718844846123),0.762736335193 (0.0294925209727),0.610712381639 (0.0170604329136),0.462050670078 (0.0123340996807),0.378284163634 (0.0358100695867),0.142455751583 (0.0330392417558),0.0261218832715 (0.00836401467857),0.0132758957957 (0.00216895778027),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=10,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.279116612221 (0.00952801567472),0.346738095073 (0.00911270201125),0.38297427106 (0.00845311395905),0.375891620647 (0.0162028436252),0.221664982109 (0.0398509609215),0.0493917505542 (0.0148200558172),0.0257750329716 (0.00418825153358),0.00719451904297 (4.72393790988e-05),0.11589217186 (0.00270083113763)
2,0.690934869083 (0.0221852716834),0.925033333333 (0.00190167177913),0.181832155286 (0.00210242608912),0.220871958056 (0.00444684217349),0.276021802672 (0.0081065185661),0.294166870746 (0.00687630816577),0.361837211418 (0.0141050105706),0.407488595805 (0.00395968244874),0.397499377022 (0.00944144841011),0.570760860802 (0.0202862439367),0.518869786864 (0.0106029485515),0.410341691912 (0.00169252927386),0.381296924462 (0.00291800720984),0.238728900204 (0.0102994696247),0.135977180312 (0.0145932379145),0.0966104995841 (0.00900734146235),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=20,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.275767941906 (0.00473109187405),0.309847927693 (0.00626197483345),0.329979574405 (0.00612374482641),0.332063492062 (0.00453636197769),0.287203338541 (0.00337857894126),0.203536476531 (0.0171732646665),0.155162104448 (0.0114998076248),0.0109643936157 (0.000162934054511),0.211368083954 (0.0055291197022)
3,0.689677336304 (0.0057645409884),0.925126666667 (0.000132999582288),0.17883959619 (0.00393026880523),0.222194374575 (0.00239482212169),0.277665373822 (0.00404374725302),0.292161715922 (0.00173832841912),0.353470198586 (0.00481874100893),0.408427922553 (0.0110270646466),0.401146977084 (0.00278672028647),0.583740632465 (0.0184592849183),0.516780830083 (0.0110162835431),0.411708173996 (0.00435947124622),0.379168632666 (0.00899025889014),0.240745119289 (0.0194672675921),0.131045626094 (0.0132709708722),0.0912674891955 (0.00687820819574),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=20,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.273664981023 (0.00306821656778),0.310722158248 (0.00248196718586),0.331616560057 (0.00251426698576),0.329955811068 (0.0023266222193),0.286101652536 (0.0153952919055),0.198210480943 (0.016543043647),0.148555676684 (0.00908981735373),0.0108827749888 (0.000115763998616),0.186845461528 (0.017151949439)
