Precision at .75,Recall at .10,AUC,Precision at .5,f1 at 0.75,Recall at .85,Precision at .2,f1 at 0.85,f1 at 0.5,f1 at 0.05,Recall at .20,train_time (sec),Precision at .25,Recall at .25,test_time (sec),f1 at 0.2,Precision at .05,classifier,f1 at 0.1,Recall at .5,Recall at .05,Recall at .75,Precision at .10,Precision at .85,Accuracy,f1 at 0.25
0.574488317727 (0.031941262645),0.650381316888 (0.0054981985156),0.802153445736 (0.00291229261812),0.481733129945 (0.00260405122883),0.064384537099 (0.00281130654083),0.00897567090204 (0.000199671076955),0.294524119905 (0.00455873385146),0.0176488111163 (0.00040297794289),0.247487085385 (0.00773390800554),0.287301248277 (0.00319806575166),0.524513916097 (0.00437182887462),0.883059183757 (0.0534966924405),0.348996625909 (0.00579682137437),0.417121374419 (0.00263454299507),0.107225259145 (4.58021610051e-05),0.377220684408 (0.00475413981945),0.17896054319 (0.00215549194941),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.328574136254 (0.00313903499247),0.166603453936 (0.00713718246328),0.728077887108 (0.00567340780515),0.034119559404 (0.0016386766192),0.219815017948 (0.00233487670289),0.528321678322 (0.0549615057261),0.932433333333 (0.000333599893419),0.380011019527 (0.0041126503264)
0.637411294946 (0.0131788300282),0.69488945372 (0.00218830283528),0.826768981633 (0.00191164940159),0.5365000995 (0.00864138655635),0.0265500609333 (0.00257556158442),0.00369241592869 (0.000392890475015),0.323925320198 (0.00741644265999),0.00734158158388 (0.000780681037236),0.237935953033 (0.00437623930984),0.276151901818 (0.00258922204608),0.516233915148 (0.00474769333347),1.20565875371 (0.057830289004),0.375717148277 (0.00757298234981),0.431459481322 (0.00368301827286),0.21165060997 (0.000503778664504),0.398047427282 (0.00684194492803),0.167297143316 (0.00176671471768),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.330878627571 (0.00262102741112),0.152921035875 (0.00408979225741),0.790546854015 (0.0035959778235),0.0135591245419 (0.00133646417288),0.217136813455 (0.00204530960588),0.627192982456 (0.0613157267274),0.934713333333 (0.000343446583264),0.401632166153 (0.00526999279379)
0.547144200146 (0.0201630720058),0.675430478087 (0.00328383331726),0.81725034695 (0.00250427219486),0.497522262363 (0.00370527610609),0.0449587879615 (0.00318034980558),0.00838340821327 (0.00110806788528),0.308357133824 (0.00448310192354),0.0164994088401 (0.0021740767557),0.256640136274 (0.004075597726),0.278972985896 (0.00321714316681),0.506849864888 (0.00629912493159),1.58314402898 (0.0123497865299),0.35685523549 (0.00648232870466),0.430357390509 (0.00469099945737),0.213157018026 (0.000613663373646),0.383431273804 (0.00502303007116),0.170555242246 (0.0022931703289),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.329162630583 (0.00281844196881),0.172962716394 (0.00412323722699),0.765796398306 (0.00250017294676),0.0234437927869 (0.00169198435764),0.217606249836 (0.00213199645638),0.522068672402 (0.0710809123284),0.9335 (0.000297993288515),0.390152387629 (0.00520093267148)
0.629490106545 (0.00343268128199),0.687689206311 (0.00446291036438),0.835618858835 (0.00319560291404),0.553054067209 (0.0059549594746),0.0232878492528 (0.00262520988626),0.00379368796853 (0.000726246326925),0.335221498584 (0.0064904985473),0.00754482306021 (0.00143362706249),0.230366391885 (0.00747396937776),0.271183882868 (0.00191238413817),0.511934915762 (0.00685294172706),2.36098599434 (0.0289771164518),0.379987719956 (0.0105244605678),0.43933047133 (0.00532149760886),0.323309659958 (0.00317798229897),0.405132832347 (0.0065572483707),0.162743280271 (0.00141003457465),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.341787968643 (0.00336380084487),0.145528819098 (0.0058464452869),0.812792400367 (0.0011401179142),0.0118661732746 (0.00136374102217),0.227409627613 (0.00263616808946),0.713293650794 (0.0519106168728),0.935186666667 (0.000333199973323),0.407469717052 (0.00791052006309)
0.546011882854 (0.0271156137301),0.675115215199 (0.00612012621142),0.827123652581 (0.00297753127544),0.502013472539 (0.0157252028873),0.0425668505368 (0.0036146325838),0.00758086307323 (0.000927438890186),0.321928145502 (0.00551400536633),0.0149356769985 (0.0018398610524),0.246127011729 (0.00657630837667),0.27577163301 (0.00318252396311),0.501967042302 (0.00545435747663),3.14737017949 (0.0314943152958),0.358450322265 (0.00476490316788),0.434856028101 (0.00260953655542),0.325900316238 (0.00160252153627),0.392265718755 (0.00550559011209),0.167173735996 (0.00231475340664),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.341370571017 (0.0041958985292),0.16308883146 (0.00510429063599),0.787161267273 (0.00233232128037),0.0221485070992 (0.00191686946437),0.228450713589 (0.00338514801531),0.504487179487 (0.0949453976444),0.933413333333 (0.000542176682969),0.392967265711 (0.00385682059057)
0.644781144781 (0.133390288145),0.688447809897 (0.0121913186953),0.847151983077 (0.00177979545398),0.679244908097 (0.0694932569556),0.0043780337025 (0.00198375197943),0.000601750959061 (0.000651262719838),0.486840170765 (0.00691791635711),nan (nan),0.0265921957504 (0.000470285277716),0.238614862972 (0.00431723855223),0.317059608977 (0.00389177337547),0.354769229889 (0.0184310584546),0.573234512617 (0.0136718008802),0.192188863705 (0.00717076344113),0.108061552048 (0.000163726165783),0.383987010802 (0.00345618501598),0.138014943146 (0.00306517081519),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=10, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.347455881444 (0.00414821182713),0.0135637107811 (0.000217957429923),0.880897398897 (0.00725065405858),0.00219917240053 (0.00100153075861),0.232375279866 (0.00264978204919),0.518518518519 (0.409087445081),0.933626666667 (0.000190671328614),0.287763461796 (0.00822390340295)
0.674603174603 (0.145910923102),0.684798741598 (0.00480935294641),0.846336579572 (0.00267727133704),0.700058541154 (0.0960403620691),0.00437497572693 (0.000573614647364),0.000300455388106 (0.000246009672979),0.481306247343 (0.0200301470561),nan (nan),0.0266009724808 (0.00378705748654),0.239842790348 (0.0113331015451),0.315451724777 (0.0224280251477),0.333293755849 (0.000933035390438),0.562710438675 (0.0246088184657),0.17727458508 (0.0177234460802),0.108126004537 (1.21668769446e-05),0.379972460167 (0.010587517838),0.138876016015 (0.00770185371321),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=10, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.343999091599 (0.00647256172995),0.0135606281817 (0.00193803485747),0.881582783843 (0.0064618060358),0.00219542634421 (0.000289827107997),0.229732411909 (0.00580859708145),0.388888888889 (0.283278861866),0.933673333333 (0.000196185852927),0.268724421241 (0.0190805825703)
0.698412698413 (0.0958971902666),0.697243247905 (0.0144556609564),0.849562876399 (0.00124510709199),0.69474969475 (0.113900501881),0.00537028846844 (0.00196514948809),0.000801389165253 (0.000711621291546),0.482024645099 (0.0117374706339),0.00159970240216 (0.0014192700802),0.0242880902278 (0.00212055341576),0.24102973087 (0.00448451631378),0.318800076916 (0.00850863680542),0.653627077738 (0.00187179451216),0.569239114697 (0.0198982914728),0.194746400364 (0.0105114079576),0.113341490428 (0.000796586083262),0.383548179405 (0.00328719719651),0.139462469431 (0.00317719999237),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=10, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.346451404138 (0.0101421968615),0.0123626598785 (0.00107218863446),0.887813438312 (0.00892319237197),0.00269797095406 (0.000991552289429),0.230726841833 (0.0102860676021),0.75 (0.204124145232),0.933606666667 (0.000136950923894),0.289814098043 (0.0097581510593)
0.696296296296 (0.11343253949),0.692067418597 (0.00647045951939),0.849869193892 (0.0012216668117),0.678084119887 (0.0934970651229),0.00437822760174 (0.00124266031337),0.000601365634132 (0.00065144218129),0.497277616504 (0.0123178820656),nan (nan),0.0215831240988 (0.00176131917238),0.245870953645 (0.00507088137619),0.31261135627 (0.00529901121207),0.65186158816 (0.0015262812632),0.582329753286 (0.0168482311153),0.186375006757 (0.0148063052751),0.112738609314 (0.000755990113376),0.383734089598 (0.000789941101301),0.142812583626 (0.00347398489161),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=10, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.349775449854 (0.00603074377032),0.0109701639993 (0.000907562367883),0.883815007294 (0.00309558767081),0.00219749203483 (0.00062702339207),0.234038190861 (0.00477818703278),0.571428571429 (0.420560041254),0.933526666667 (0.000190671328614),0.281783306264 (0.0155850860496)
0.728070175439 (0.206466706946),0.690092918949 (0.00250785421828),0.850217987441 (0.00232342727386),0.68037665886 (0.0956343645093),0.00438202223822 (0.00242161499313),0.000301295570955 (0.000426096282728),0.495441374927 (0.0118837536033),nan (nan),0.021776734481 (0.00157061068038),0.240785354424 (0.00593864220878),0.309019580797 (0.00451052348425),1.19328188896 (0.00159855491575),0.578446837636 (0.00931047975576),0.183628887548 (0.00298645561058),0.124593496323 (0.000432661868259),0.380497752471 (0.000625795875056),0.139334202325 (0.0039801842553),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=10, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.346855116941 (0.0101414561099),0.0110673741909 (0.000795439634087),0.886277939382 (0.00350693397518),0.00220039790831 (0.00122001340263),0.231711701567 (0.00881543595333),0.25 (0.353553390593),0.93354 (0.000197989898732),0.278713815447 (0.00255811679651)
0.751851851852 (0.18511109629),0.69227059426 (0.00590951117091),0.849273479802 (0.00311547091511),0.702727067839 (0.107950767835),0.00418063958853 (0.00147595210951),0.00040172742794 (0.00056812837697),0.49661661142 (0.015920719763),nan (nan),0.0214023623375 (0.00161158106773),0.2408304642 (0.000515154471676),0.31789916561 (0.00766791314984),1.28962532679 (0.000897244651083),0.583096783727 (0.0188320173646),0.188532607512 (0.00677158307519),0.159065564473 (0.0479630531116),0.387362647708 (0.00112532076978),0.139401396466 (0.000479511819519),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=10, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.344817310083 (0.00750631204314),0.0108678055177 (0.000804885461131),0.884191624855 (0.00554123384859),0.00209828568563 (0.000744039962862),0.229628992554 (0.00645885286917),0.190476190476 (0.269374011881),0.933566666667 (0.00015173075569),0.284787547664 (0.00749917323321)
0.750168818272 (0.0555290292244),0.691754644385 (0.0119504331714),0.848366003907 (0.00283683938688),0.620621239429 (0.0217602681798),0.0206628273754 (0.00228274623248),0.00379697916693 (0.00136887673245),0.387978395128 (0.00932171294943),0.00754955009758 (0.00271066308417),0.162221455867 (0.00981165111919),0.275852108401 (0.00301607827935),0.469538716139 (0.00854875614653),0.536300897598 (0.00183688790332),0.435795701622 (0.012972002642),0.382078389711 (0.00663225596905),0.107574860255 (0.000358555139112),0.424876322168 (0.00908842657455),0.165536631065 (0.00218236889659),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.355563856101 (0.00211649101449),0.0933839488988 (0.00656090543119),0.82711566211 (0.00736426952476),0.0104787880254 (0.00117560185755),0.239319136889 (0.00264386833672),0.699074074074 (0.102898660976),0.935553333333 (0.000420898509804),0.407152334678 (0.0093278805572)
0.727311689703 (0.0458164532172),0.692575774953 (0.00461692895182),0.849752270845 (0.00317890218),0.620970521812 (0.0403092074513),0.0231638013013 (0.00103411166009),0.00499228785553 (0.00118097698413),0.388109073423 (0.0124768023385),0.00990765029983 (0.00232179608967),0.162424146542 (0.00682060333164),0.27412261468 (0.00370470544953),0.461936773175 (0.0130121467174),0.637050072352 (0.00328732599922),0.435686600438 (0.0113430922665),0.375904172346 (0.00435235061905),0.107541243235 (0.00042183842079),0.421809505491 (0.0126985858296),0.163987447724 (0.00265731083514),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.355430664374 (0.00442172808782),0.0934397757448 (0.00361060990569),0.834926308566 (0.000702309236182),0.0117708520477 (0.000538477589008),0.239066894695 (0.00363709595687),0.695510835913 (0.0664526160752),0.93558 (0.000467332857822),0.403527625304 (0.00595807442263)
0.726512723481 (0.0958551909233),0.69516764137 (0.00495137150866),0.853453386989 (0.00207291594306),0.656625408947 (0.0208101383954),0.0159813841293 (0.00172401518474),0.00339448108913 (0.000873433806698),0.392218232914 (0.0116133741281),0.00675484630727 (0.00172857035494),0.154969701488 (0.00287099504893),0.278537754949 (0.00182631655914),0.469825696729 (0.0109473084862),0.9597919782 (0.00580800317553),0.445963837147 (0.0101148323703),0.38378787229 (0.00362205879142),0.111315409342 (0.000314764919961),0.42749946893 (0.0109262725501),0.1670167169 (0.00133414450317),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.359622003151 (0.00441149431923),0.087869267837 (0.00188140688192),0.838327896443 (0.0020248394477),0.0080833381501 (0.000888787471628),0.242551164634 (0.00341155151752),0.731601731602 (0.0425257201394),0.935946666667 (8.37987005998e-05),0.412507542665 (0.00568023043035)
0.692837968569 (0.0560951064168),0.696053359852 (0.00800303780338),0.853828192233 (0.00235990548971),0.642820858591 (0.0298846457673),0.019264582531 (0.00189492576856),0.00458642904634 (0.000351397577455),0.394296354152 (0.0117481294188),0.00911299929232 (0.000700079884057),0.166320673102 (0.00215068281124),0.278619865553 (0.00282025623156),0.470943435223 (0.00630582312941),1.09293246269 (0.0497075395339),0.444904128853 (0.012664115548),0.381616110132 (0.00454858983716),0.113335212072 (0.000307288181202),0.429193037709 (0.00949993407377),0.167030621643 (0.0020221904624),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.360828488798 (0.00416451596494),0.0955605058954 (0.00174668291081),0.839512352288 (0.000958912504709),0.00976963748764 (0.0009697613407),0.243544560021 (0.00307255946365),0.69935378631 (0.0781689056822),0.935973333333 (0.000350364889159),0.410750132945 (0.00631075119799)
0.716587175411 (0.0632051411508),0.699353606156 (0.0060447839557),0.855610152237 (0.00215340047885),0.674651230806 (0.0283279489262),0.0134417922267 (0.00153163673007),0.00329359437423 (0.000440728188433),0.399858281761 (0.0131513832978),0.00655774232773 (0.000872372610749),0.155884313152 (0.00402588298489),0.277818096723 (0.00347962083789),0.474212942427 (0.0110602766897),1.73529569308 (0.0422713208042),0.448149108623 (0.00917863090529),0.383790815824 (0.00589060596008),0.224731127421 (0.00117032483884),0.433818553231 (0.0115109923425),0.166305016374 (0.00236139893035),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.360488311165 (0.00402393460505),0.0881778469216 (0.0029808675742),0.84331174481 (0.00371170012522),0.00678637209673 (0.000782711383125),0.242830893846 (0.00300677588016),0.765993265993 (0.103696051141),0.936186666667 (0.000163571255285),0.413396433161 (0.00437945293119)
0.678962455278 (0.100166839443),0.697959568977 (0.00546176949843),0.856231742853 (0.00239321111776),0.655143534154 (0.0212931434713),0.0157672691111 (0.00134161805963),0.00518895065526 (0.000531600533084),0.400136642138 (0.00910766356821),0.0103028898036 (0.00104670655764),0.152922936676 (0.00402521027611),0.278334656508 (0.00400020644589),0.470435988582 (0.00798556781),2.10682527224 (0.00625138669005),0.451517368582 (0.0114557978139),0.381800871306 (0.00132028225921),0.226711591085 (0.00224059602621),0.432438776636 (0.00854344202802),0.166637852448 (0.00286767965209),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.360057840997 (0.00316871123142),0.086564841544 (0.00220808981286),0.844402913245 (0.000335190612427),0.00797677875422 (0.000673510531095),0.24261435058 (0.00264555869811),0.730776942356 (0.06332241769),0.9359 (0.00015748015748),0.413688308643 (0.00533890169443)
0.619605436575 (0.0136548822565),0.665652824096 (0.00321083393107),0.810219710442 (0.00160192513531),0.527359826321 (0.0163056392546),0.0332023868165 (0.00253117709257),0.00418837814173 (0.000231082201847),0.30191375018 (0.00704816350161),0.00832590747598 (0.000455578623431),0.2220140054 (0.00111625541344),0.285770337737 (0.00204354778217),0.518893194244 (0.0117414223412),0.647081931432 (0.00528190219726),0.371100905254 (0.0082338757822),0.402311098009 (0.00846717869615),0.10729209582 (0.000272268890753),0.381722656147 (0.00877572164987),0.176464896865 (0.00159518577643),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.333382028761 (0.00330150904562),0.14063513788 (0.000347780503587),0.750942935452 (0.00248206482057),0.0170609356768 (0.00133246368824),0.22238305647 (0.00266996690121),0.690235690236 (0.0234484651131),0.934113333333 (0.000269485105752),0.386066146794 (0.00811438683)
0.533552129894 (0.0150920278583),0.646609612739 (0.00506871077879),0.801830888874 (0.00246534433778),0.479958323654 (0.00534370923985),0.0505254607946 (0.00390225353997),0.00867360468123 (0.00084019242257),0.291754619235 (0.0064316559623),0.0170652062399 (0.00164033094242),0.232709020399 (0.00316517741475),0.286860206094 (0.00330355467826),0.513438873068 (0.00542017817584),0.814985672633 (0.0406091517493),0.353870897654 (0.00535113545257),0.405804539188 (0.00791121530561),0.108061234156 (0.00135825419573),0.372066746619 (0.00658987179009),0.178554548211 (0.00244302560649),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.327949099163 (0.00528762374259),0.153609213714 (0.00282050903115),0.729198007085 (0.00242198041761),0.0265230805216 (0.0021223877781),0.219693369782 (0.00421528380529),0.526731195806 (0.0320911142095),0.932406666667 (7.54247233265e-05),0.378059612396 (0.00645699835294)
0.643393097406 (0.0645479276388),0.693685218812 (0.00244441028397),0.826918367173 (0.00244245022801),0.548405340526 (0.0150014628639),0.0227278846309 (0.00323628335915),0.00349522873806 (0.000875351397406),0.325573375259 (0.0077297910991),0.00695524331764 (0.00173239131514),0.229957388722 (0.00238197998429),0.276410936385 (0.0029760581934),0.506744670066 (0.00748771350598),1.17318169276 (0.0102171696032),0.381610286949 (0.00907385807126),0.422268063886 (0.00696305494444),0.211550792058 (0.000198178224464),0.39642380223 (0.00776772271268),0.167465741683 (0.00202456937613),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.331376275937 (0.00304432292172),0.145533645809 (0.00256416553006),0.791030422085 (0.00361558490828),0.0115701273997 (0.0016599569307),0.217688429354 (0.00255086709229),0.760606060606 (0.0557114433662),0.935133333333 (0.000281582827759),0.400903036873 (0.00807270783023)
0.554234626922 (0.0335145969664),0.676209037462 (0.00732304771041),0.818338355859 (0.00281193126142),0.499200972891 (0.00828695637055),0.0420328539967 (0.00331983314221),0.00788124892835 (0.0004075077447),0.31291605374 (0.00580876784247),0.0155269096291 (0.000826693258916),0.245912075992 (0.00692742206089),0.280996462394 (0.00233034382646),0.502064322026 (0.00594588188929),1.4810543855 (0.0153886085218),0.360167118662 (0.0076642870737),0.420473385721 (0.00658292171951),0.212332804998 (0.000224822890884),0.385520719952 (0.00565765497491),0.171873615984 (0.00171703861047),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.330624350766 (0.00572050878383),0.163203963623 (0.00607789163099),0.769700916118 (0.00111333989977),0.0218468262034 (0.00175313582477),0.218808727891 (0.00430042322032),0.524986709197 (0.0826487049753),0.933553333333 (0.000359382185919),0.387974432354 (0.00688359788277)
0.618650793651 (0.0342329473432),0.685787267633 (0.00578822863825),0.835396329587 (0.00178881917364),0.558258648268 (0.00631346077823),0.0202127446255 (0.000805377142293),0.00359488994518 (0.000866812050726),0.338483619544 (0.00487678404355),0.00715245352526 (0.00171714908259),0.218116871317 (0.00237583144002),0.269313851127 (0.00245713862472),0.504461313201 (0.00530336310837),2.12973713875 (0.0208290163881),0.380995698205 (0.00923508165828),0.430235322497 (0.00919395952649),0.32269525528 (0.000775003591166),0.405119526498 (0.00476392826329),0.161547146438 (0.00185553381001),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.342110968729 (0.0053215020777),0.135550927189 (0.00204069231443),0.809106427769 (0.00213686156717),0.010275087971 (0.000417800335712),0.2279099603 (0.00420821605683),0.714285714286 (0.038880789568),0.935193333333 (0.000543650214343),0.40407858234 (0.00828573001021)
0.499244773581 (0.032328994754),0.666437794929 (0.00679334580127),0.827435094846 (0.00186906619118),0.503304502518 (0.00559671485573),0.0337358543452 (0.00179969544609),0.0073819955169 (0.000394848776366),0.323640220349 (0.00715874847744),0.0145517498106 (0.000797298041231),0.231457315448 (0.00653780160018),0.274472494217 (0.00140904270497),0.495050478496 (0.0124374862599),2.7801126639 (0.024625063371),0.362486484531 (0.0102893589651),0.426655871635 (0.00678662327892),0.324258168538 (0.00121936330826),0.39138033747 (0.00868514273082),0.16625256941 (0.00105752172581),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.337638158708 (0.00276202396929),0.150320698097 (0.00526958288173),0.78637685849 (0.00514581020879),0.0174582854645 (0.000928066779689),0.226099038527 (0.00211332394585),0.510656774787 (0.0720439220504),0.93356 (0.000302434565926),0.391925273044 (0.00836300173838)
